cosine_t0,cosine_t_mult,decay_rate,horizontal_flip,lora,lora_dropout,lora_rank,lr,onecycle_div_factor,onecycle_final_div_factor,onecycle_pct_start,patience_epochs,poly_power,random_rotate,sched,step_size,vertical_flip,weight_decay,num_samples,default_resolution,num_channels,num_classes,dataset,cost,epoch_0_iou,epoch_1_iou,epoch_2_iou,epoch_3_iou,epoch_4_iou,epoch_5_iou,epoch_6_iou,epoch_7_iou,epoch_8_iou,epoch_9_iou
3,1,0.8,0,0,0.1,8,0.006,30,20,0.07,0,0.5,0,poly,5,1,0.0001,109,"(1500, 1500)",3,1,building,178.91585969924927,0.059165823902003464,0.14244206640869378,0.18193482588976623,0.16553180739283563,0.2360585231333971,0.2450435057282448,0.23631233908236027,0.24893227964639664,0.19646047204732894,0.2215760827064514
2,2,0.5,0,0,0.1,16,0.00012,30,160,0.06,2,0.5,1,poly,5,1,1e-05,6321,"(374, 280)",1,1,fiber,113.47115349769592,0.22773757353425025,0.2494098015129566,0.23347257301211358,0.26563303396105764,0.27026625648140906,0.26661087945103645,0.2803530365228653,0.2782194666564465,0.28262242302298546,0.2852370895445347
2,1,0.8,0,1,0.0,4,0.00025,65,320,0.095,2,1.0,1,onecycle,5,1,0.0001,6321,"(374, 280)",1,1,fiber,132.40198040008545,0.22976501733064653,0.25905043333768846,0.21985762640833856,0.27306767404079435,0.26939606815576556,0.27955328300595284,0.28878624737262726,0.2899211414158344,0.2904190756380558,0.291909459233284
5,2,0.8,1,1,0.0,16,0.005,80,80,0.06,1,1.0,0,poly,3,1,1e-05,14164,"(600, 400)",3,12,human_parsing,208.8712821006775,4.8844030152395136e-05,0.0010666178117389792,0.00796967687929282,0.002172490849375208,0.008387896995373012,0.004607129256419285,0.007041131272126222,0.008104488355274952,0.010257462593290256,0.008415375550976023
2,1,0.5,1,1,0.1,8,0.0004,50,160,0.045,2,0.5,1,cosine_warm,5,0,1e-05,470,"(1600, 1200)",3,1,leaf,130.59828209877014,0.5378096602857113,0.5838937640190125,0.6136545155197382,0.6434002421796322,0.5677764888852834,0.678056786954403,0.6503390431404114,0.681181637942791,0.5883443996310234,0.6428213715553284
5,2,0.1,0,0,0.0,4,1.5e-05,100,320,0.075,1,0.9,1,onecycle,3,1,0.0,6464,"(480, 854)",3,9,cholec,143.00569987297058,0.15362301468849182,0.18576250746846198,0.2015561256557703,0.19012293238192796,0.19733210355043412,0.19730801712721585,0.19839956536889075,0.20049581807106734,0.19868239760398865,0.19898857735097408
5,1,0.1,1,0,0.0,4,1.2e-05,10,320,0.075,0,1.0,0,cosine,3,1,5e-05,489,"(288, 384)",3,1,polyp,105.18947911262512,0.7851875603199006,0.7972469504922628,0.7990801777690649,0.7997111089527607,0.8030282210558652,0.8045133806765079,0.8059834126383066,0.8069106787443161,0.8063716098666192,0.80657401047647
3,1,0.8,1,0,0.0,4,2e-05,40,1000,0.075,1,1.0,0,poly,5,1,5e-05,470,"(1600, 1200)",3,1,leaf,117.49114298820496,0.5246200228109956,0.5683953233528882,0.5912401607260108,0.60823491550982,0.6065103569999337,0.6130443133413792,0.6167783945798874,0.6216563418507576,0.6213211633265019,0.6229151781648398
3,2,0.8,1,0,0.0,16,0.00048,20,80,0.075,1,1.0,1,poly,5,0,5e-05,480,"(1080, 1920)",3,3,terrain,181.33294320106506,0.2509456604719162,0.39583971351385117,0.4220479130744934,0.2092236447322648,0.4729229502379894,0.505451986566186,0.5122595131397247,0.48659006133675575,0.4921425886452198,0.5013615675270557
3,1,0.8,1,0,0.0,16,5e-05,100,40,0.03,1,1.0,1,onecycle,3,1,0.0,109,"(1500, 1500)",3,1,building,170.3221776485443,0.3254608318209648,0.3482127353549004,0.3624553643167019,0.3620252750813961,0.38260253295302393,0.3826873034238815,0.38481775000691415,0.38727952912449837,0.387144435942173,0.38858152776956556
5,1,0.5,0,0,0.0,4,0.00055,65,320,0.035,2,0.9,1,plateau,3,1,0.0,109,"(1500, 1500)",3,1,building,166.88105297088623,0.30318379066884515,0.31942314729094506,0.38340229392051695,0.37191765531897547,0.39244078323245046,0.40603428035974504,0.40183495730161667,0.42013626396656034,0.4282511346042156,0.42193095535039904
2,2,0.8,1,0,0.0,4,0.0004,50,20,0.07,2,0.9,0,cosine_warm,3,1,5e-05,524,"(1232, 1624)",3,1,eyes,147.27172183990479,0.26755315586924555,0.32965619266033175,0.31664092689752577,0.33657823503017426,0.34863402917981146,0.34370814487338064,0.2577028731815517,0.35076865553855896,0.2862508572638035,0.3148515187203884
3,1,0.5,1,1,0.1,16,6.5e-05,40,20,0.06,2,1.0,0,onecycle,3,0,1e-05,470,"(1600, 1200)",3,1,leaf,129.12634205818176,0.5436277132946998,0.6077922934200615,0.6333723209798336,0.6149128034710885,0.6353811550885439,0.6414988547563553,0.6309941332787276,0.6427627112716436,0.640917394682765,0.6413421612232924
3,2,0.5,0,0,0.0,16,0.0005,25,40,0.045,0,0.9,1,cosine,5,0,0.0001,6321,"(374, 280)",1,1,fiber,114.82677173614502,0.22697907462716102,0.2625960759818554,0.2672251589596272,0.2793159082531929,0.274233777821064,0.2864473856985569,0.28857685774564745,0.2941964417695999,0.29536560401320455,0.29933387264609335
5,2,0.5,0,1,0.0,16,0.001,15,10,0.095,1,0.9,1,plateau,3,1,0.0001,109,"(1500, 1500)",3,1,building,193.50186705589294,0.3143909424543381,0.29658418893814087,0.3371834371238947,0.3955914318561554,0.37458602152764797,0.41633169502019884,0.40920762717723846,0.4178672254085541,0.4303735367953777,0.4193053424358368
5,2,0.1,1,0,0.1,16,0.0015,10,320,0.03,1,1.0,0,step,3,1,0.0,633,"(464, 449)",3,3,US,141.8525047302246,0.5925423681735993,0.7383315652608872,0.8029219150543213,0.8216234743595123,0.821350359916687,0.8304742455482483,0.8305583834648133,0.8339676350355149,0.8384166806936264,0.837622931599617
2,2,0.1,0,1,0.1,16,1.5e-05,30,40,0.1,2,0.9,1,cosine_warm,3,0,0.0,109,"(1500, 1500)",3,1,building,194.81078338623047,0.2210265054833144,0.2514108641538769,0.31770750917494295,0.3253278791904449,0.3517677128314972,0.35193176865577697,0.3527781654149294,0.36477146074175837,0.3520100250840187,0.37317845076322553
5,1,0.8,0,0,0.0,16,0.006,65,160,0.07,2,1.0,0,step,3,0,0.0001,524,"(1232, 1624)",3,1,eyes,141.89895915985107,0.15362828793004155,0.19062812104821206,0.2150664589367807,0.200190706551075,0.21642475333064795,0.18171957833692431,0.21715954067185522,0.19569169878959655,0.23038989678025246,0.1666285779327154
2,1,0.8,0,0,0.0,8,2e-05,80,1000,0.03,0,0.9,1,poly,5,0,0.0001,900,"(767, 1022)",3,1,lesion,129.70608711242676,0.9051686227321625,0.911968344449997,0.9104402989149094,0.9117276787757873,0.9167305648326873,0.9144237279891968,0.9153623461723328,0.9162437945604325,0.9164620757102966,0.9163348108530045
2,1,0.8,0,0,0.0,4,0.00025,10,80,0.06,1,0.5,1,onecycle,5,0,0.0,489,"(288, 384)",3,1,polyp,105.81243586540222,0.7380912646651268,0.7517497725784779,0.7789225168526173,0.7697282511740923,0.7815907638520002,0.7823496542870998,0.7918003529310227,0.8004960853606462,0.8000767376273871,0.8008791152387857
2,2,0.5,1,0,0.0,4,0.002,10,20,0.08,1,0.9,0,cosine_warm,5,0,5e-05,524,"(1232, 1624)",3,1,eyes,148.99037289619446,0.15276786359027028,0.2669188015162945,0.2668278176337481,0.2804456680081785,0.27622731057927014,0.26440592017024755,0.26191491540521383,0.26444120090454815,0.2607486120425165,0.28815667387098076
3,1,0.1,1,0,0.1,4,0.0001,50,20,0.035,2,1.0,1,onecycle,5,1,1e-05,633,"(464, 449)",3,3,US,142.98538613319397,0.8252029538154602,0.854075700044632,0.8717935711145401,0.8651556015014649,0.874387776851654,0.8725508928298951,0.8796019464731216,0.8830455124378205,0.8834804505109787,0.8828795790672302
